City1,City2,Month,Passenger_Trips,Aircraft_Trips,Passenger_Load_Factor,Distance_GC_(km),RPKs,ASKs,Seats,Year,Month_num,Date
HOBART,MELBOURNE,8/19,125053,863,80.1,618,77282754,96430866,156037,2019,8,2019/8/19
HOBART,SYDNEY,8/19,48865,393,81.2,1039,50770735,62549878,60202,2019,8,2019/8/19
HAMILTON ISLAND,MELBOURNE,8/19,0,0,0,0,0,0,0,2019,8,2019/8/19
HAMILTON ISLAND,SYDNEY,8/19,17004,137,75.3,1526,25948104,34452502,22577,2019,8,2019/8/19
KALGOORLIE,PERTH,8/19,25205,356,56.3,538,13560290,24090026,44777,2019,8,2019/8/19
KARRATHA,PERTH,8/19,40901,500,66.5,1250,51126250,76896250,61517,2019,8,2019/8/19
LAUNCESTON,MELBOURNE,8/19,67814,640,84,476,32279464,38432240,80740,2019,8,2019/8/19
LAUNCESTON,SYDNEY,8/19,18085,114,89,914,16529690,18577964,20326,2019,8,2019/8/19
SUNSHINE COAST,MELBOURNE,8/19,49073,300,90.8,1454,71352142,78603240,54060,2019,8,2019/8/19
SUNSHINE COAST,SYDNEY,8/19,51074,379,84.6,837,42748938,50515461,60353,2019,8,2019/8/19
MELBOURNE,MILDURA,8/19,20245,426,65.7,457,9251965,14090224,30832,2019,8,2019/8/19
MELBOURNE,NEWCASTLE,8/19,36347,230,87.2,836,30386092,34854512,41692,2019,8,2019/8/19
MELBOURNE,GOLD COAST,8/19,177635,1024,91.2,1330,236817569,259554796,194704,2019,8,2019/8/19
MELBOURNE,PERTH,8/19,168901,989,87.1,2706,457046106,524579748,193858,2019,8,2019/8/19
MELBOURNE,SYDNEY,8/19,769529,5048,85.6,706,545986649,637969171,899293,2019,8,2019/8/19
MELBOURNE,TOWNSVILLE,8/19,0,0,0,2055,0,0,0,2019,8,2019/8/19
GOLD COAST,SYDNEY,8/19,217246,1463,86,680,147727280,171793840,252638,2019,8,2019/8/19
PERTH,PORT HEDLAND,8/19,33232,392,67,1312,43600384,65106688,49624,2019,8,2019/8/19
PERTH,SYDNEY,8/19,133503,729,83.1,3284,438423852,527709244,160691,2019,8,2019/8/19
PERTH,NEWMAN,8/19,30199,361,59.3,1019,30772781,51908879,50941,2019,8,2019/8/19
PROSERPINE,SYDNEY,8/19,9563,62,85,1517,14507071,17075352,11256,2019,8,2019/8/19
PORT MACQUARIE,SYDNEY,8/19,16200,348,72.2,321,5200200,7200993,22433,2019,8,2019/8/19
BALLINA,SYDNEY,8/19,33058,265,81.2,612,20231496,24918192,40716,2019,8,2019/8/19
SYDNEY,TAMWORTH,8/19,14887,346,67.4,320,4763840,7066560,22083,2019,8,2019/8/19
SYDNEY,TOWNSVILLE,8/19,16490,114,82.1,1690,27868100,33935200,20080,2019,8,2019/8/19
SYDNEY,WAGGA WAGGA,8/1,16546,474,68.7,367,6072382,8841764,24092,2019,8,2019/8/1
ALBURY,SYDNEY,7/19,20910,541,71.1,452,9451320,13296032,29416,2019,7,2019/7/19
ADELAIDE,ALICE SPRINGS,7/19,14610,126,82,1316,19226760,23435328,17808,2019,7,2019/7/19
ADELAIDE,BRISBANE,7/19,78957,545,82.6,1622,128068254,155134568,95644,2019,7,2019/7/19
ADELAIDE,CANBERRA,7/19,16083,154,62.4,972,15632676,25036776,25758,2019,7,2019/7/19
ADELAIDE,MELBOURNE,7/19,222844,1645,82.8,643,143229212,173072724,269268,2019,7,2019/7/19
ADELAIDE,GOLD COAST,7/19,19567,126,86.9,1607,31444169,36163928,22504,2019,7,2019/7/19
ADELAIDE,PERTH,7/19,57437,505,74.5,2120,121766440,163536800,77140,2019,7,2019/7/19
ADELAIDE,PORT LINCOLN,7/19,12969,639,53.1,246,3190374,6012240,24440,2019,7,2019/7/19
ADELAIDE,SYDNEY,7/19,158892,1123,82.8,1167,185426964,223832934,191802,2019,7,2019/7/19
ARMIDALE,SYDNEY,7/19,10219,380,63.2,382,3903658,6181524,16182,2019,7,2019/7/19
ALICE SPRINGS,DARWIN,7/19,13110,164,47.9,1305,17108550,35695665,27353,2019,7,2019/7/19
ALICE SPRINGS,MELBOURNE,7/19,0,0,0,1860,0,0,0,2019,7,2019/7/19
ALICE SPRINGS,SYDNEY,7/19,0,0,0,2022,0,0,0,2019,7,2019/7/19
AYERS ROCK,SYDNEY,7/19,18621,124,83.7,2181,40612401,48522888,22248,2019,7,2019/7/19
BUNDABERG,BRISBANE,7/19,13355,312,67.7,287,3832885,5658492,19716,2019,7,2019/7/19
BROOME,PERTH,7/19,34630,341,88.7,1677,58074510,65438217,39021,2019,7,2019/7/19
BRISBANE,CANBERRA,7/19,62171,574,78.3,956,59435476,75915004,79409,2019,7,2019/7/19
BRISBANE,CAIRNS,7/19,119665,988,84.7,1391,166454015,196471795,141245,2019,7,2019/7/19
BRISBANE,DARWIN,7/19,39625,285,83.7,2852,113010500,135013680,47340,2019,7,2019/7/19
BRISBANE,EMERALD,7/19,18616,386,70.6,653,12156248,17226140,26380,2019,7,2019/7/19
BRISBANE,GLADSTONE,7/19,22526,435,69.3,434,9776284,14116718,32527,2019,7,2019/7/19
BRISBANE,HOBART,7/19,19781,132,86.1,1791,35427771,41135688,22968,2019,7,2019/7/19
BRISBANE,HAMILTON ISLAND,7/19,11405,119,73.4,888,10127640,13799520,15540,2019,7,2019/7/19
BRISBANE,MOUNT ISA,7/19,12891,148,75,1573,20277543,27039870,17190,2019,7,2019/7/19
BRISBANE,MELBOURNE,7/19,330830,2259,85.4,1381,456876230,534908254,387334,2019,7,2019/7/19
BRISBANE,MACKAY,7/19,68800,697,77.3,797,54833600,70916263,88979,2019,7,2019/7/19
BRISBANE,MORANBAH,7/19,0,0,0,780,0,0,0,2019,7,2019/7/19
BRISBANE,NEWCASTLE,7/19,51644,514,72.1,614,31709416,44005380,71670,2019,7,2019/7/19
BRISBANE,PERTH,7/19,85097,525,87.5,3615,307625655,351594900,97260,2019,7,2019/7/19
BRISBANE,PROSERPINE,7/19,22906,158,81.3,895,20500870,25212150,28170,2019,7,2019/7/19
BRISBANE,ROCKHAMPTON,7/19,50811,697,86.4,518,26320098,30462544,58808,2019,7,2019/7/19
BRISBANE,SYDNEY,7/19,431064,3163,82.6,753,324591192,392861184,521728,2019,7,2019/7/19
BRISBANE,TOWNSVILLE,7/19,95192,788,80.4,1112,105853504,131661912,118401,2019,7,2019/7/19
CANBERRA,MELBOURNE,7/19,99573,963,65.2,470,46799310,71813650,152795,2019,7,2019/7/19
CANBERRA,SYDNEY,7/19,83565,1473,74.9,236,19721340,26345860,111635,2019,7,2019/7/19
COFFS HARBOUR,SYDNEY,7/19,27393,418,70.2,443,12135099,17279215,39005,2019,7,2019/7/19
CAIRNS,MELBOURNE,7/19,92279,523,89.9,2311,213256769,237321212,102692,2019,7,2019/7/19
CAIRNS,SYDNEY,7/19,109636,635,88.2,1971,216092556,245091879,124349,2019,7,2019/7/19
CAIRNS,TOWNSVILLE,7/19,12930,335,61.1,284,3672120,6009440,21160,2019,7,2019/7/19
DUBBO,SYDNEY,7/19,15717,531,64.4,310,4872270,7560590,24389,2019,7,2019/7/19
DARWIN,MELBOURNE,7/19,34887,205,89.9,3131,109231197,121467145,38795,2019,7,2019/7/19
DARWIN,PERTH,7/19,17815,124,82.9,2651,47227565,56946131,21481,2019,7,2019/7/19
DARWIN,SYDNEY,7/19,37777,248,86.2,3155,119186435,138248945,43819,2019,7,2019/7/19
GERALDTON,PERTH,7/19,8733,142,61.5,370,3231210,5254000,14200,2019,7,2019/7/19
HOBART,MELBOURNE,7/19,132737,924,78.6,618,82031466,104353626,168857,2019,7,2019/7/19
HOBART,SYDNEY,7/19,57081,456,79.7,1039,59307159,74431882,71638,2019,7,2019/7/19
HAMILTON ISLAND,MELBOURNE,7/19,0,0,0,0,0,0,0,2019,7,2019/7/19
HAMILTON ISLAND,SYDNEY,7/19,19092,161,73.4,1526,29134392,39712624,26024,2019,7,2019/7/19
KALGOORLIE,PERTH,7/19,23169,338,55.2,538,12464922,22589544,41988,2019,7,2019/7/19
KARRATHA,PERTH,7/19,42382,512,68.4,1250,52977500,77437500,61950,2019,7,2019/7/19
LAUNCESTON,MELBOURNE,7/19,77062,733,79.3,476,36681512,46254824,97174,2019,7,2019/7/19
LAUNCESTON,SYDNEY,7/19,23691,154,85.3,914,21653574,25397318,27787,2019,7,2019/7/19
